policy,barcode,cycle_life,QD2,QD(Max-2),QD100,QDiffMin,QDiffMean,QDiffVar,QDiffSkew,QDiffKurtosis,QDiffStart,R3Coef,R3Intercept,R1Coef,R1Intercept,QDiffLinVar
3_6C-80PER_3_6C,???,1189.0,1.0706892,0.46836520000000004,1.0759126,-2.0726479673332374,-2.5416016114732507,-5.014861042960788,-0.27404063707810705,0.1297903648772174,-4.261443570005188,-0.00021024667355227036,1.091261827422553,3.902833333333153e-05,1.0720776861111112,-5.013790557305734
3_6C-80PER_3_6C,???,1178.0,1.0753012,0.009288300000000138,1.0806297,-1.9584566567173611,-2.3872569666191845,-5.013959617162855,-0.3671633435127306,0.012464331180694635,-3.8033251846886844,6.096038865405838e-06,1.0809453275883174,-4.0691666666659025e-05,1.084710019444444,-5.017121055308589
3_6C-80PER_3_6C,???,1176.0,1.0799223,0.008131200000000005,1.0849404,-1.7640578612436268,-2.3480696498547133,-4.7369997419805365,0.033501872813719434,-0.4576267497842628,-5.056483634489419,1.0885957194499132e-05,1.0848258520188208,-4.384499999998683e-05,1.0893313527777764,-4.734378425592602
4C-80PER_4C,???,1225.0,1.0797229,0.006530099999999983,1.0847498,-1.7221493032207573,-2.1275066415532153,-4.442613359277012,-0.357485560584585,0.03957902016868709,-3.7398329554558147,1.77920496783529e-05,1.0840525035320596,-2.6116666666557254e-06,1.0850306305555546,-4.438865269760685
4C-80PER_4C,???,1226.0,1.0784167,0.005899899999999958,1.0826457,-1.8551769586673086,-2.2403315418634135,-4.647743660307859,-0.44063433451277717,0.12510066877814913,-4.380558908317543,1.970663823167487e-05,1.0818503647693003,-3.266166666664461e-05,1.085850724999998,-4.642574495908198
4_4C-80PER_4_4C,???,1073.0,1.0761266,0.005943800000000055,1.0797794,-1.5989653349280424,-1.9556988935537072,-4.178877963304522,-0.8257943420525352,0.0890308836301132,-3.6250478107988915,1.1921585091393581e-05,1.0797309956671703,-2.461500000000561e-05,1.0822153805555559,-4.174412014292863
4_8C-80PER_4_8C,???,635.0,1.0758358,0.006303200000000064,1.0792426,-1.4215207944138115,-1.7968295470103903,-3.7688779002277237,-0.38940812697492216,0.0927452333550496,-4.207368241127319,-3.9038113089659095e-06,1.0811259598180414,-6.057833333332764e-05,1.0853306305555552,-3.7672643524347613
4_8C-80PER_4_8C,???,869.0,1.0938644,0.004104200000000002,1.0957625,-1.4175572328154407,-1.7786972259287557,-3.8134860773269867,-0.4770127555092471,0.04942577672560296,-3.630069965644062,-5.892346779386453e-06,1.0972358726960325,-3.8773333333334374e-05,1.0996727,-3.8160528241450153
5_4C-40PER_3_6C,???,1053.0,1.0829742,0.005975700000000028,1.0876312,-1.5417478896827503,-1.9389020163552184,-4.059383677769545,-0.3689714157359826,0.07268024879897933,-4.424570343414134,1.881073771589248e-05,1.086750606724939,-1.2084999999980212e-05,1.088857152777776,-4.059990021258813
5_4C-50PER_3C,???,787.0,1.0537786,0.009460400000000035,1.0599719,-1.6254072026301174,-2.0768490121048195,-4.146896530502188,-0.22559407709865514,0.08118719666612247,-5.452511937624461,2.2554603472129474e-05,1.0589460210960862,-1.3199999999998403e-05,1.0612633555555553,-4.147613986839886
