Test No.,models,RMSE,MAE,MSE,RMSE_avg,MAE_avg,MSE_avg
1,variance_fastcharge_basemodel,110.4386978149414,87.75218963623047,12196.7060546875,110.3929214477539,88.73396148681641,12187.1087890625
2,variance_fastcharge_basemodel,109.8542251586914,88.89400482177734,12067.951171875,110.3929214477539,88.73396148681641,12187.1087890625
3,variance_fastcharge_basemodel,109.9996337890625,88.78622436523438,12099.9189453125,110.3929214477539,88.73396148681641,12187.1087890625
4,variance_fastcharge_basemodel,109.90882873535156,88.78882598876953,12079.9501953125,110.3929214477539,88.73396148681641,12187.1087890625
5,variance_fastcharge_basemodel,111.76322174072266,89.44856262207031,12491.017578125,110.3929214477539,88.73396148681641,12187.1087890625
1,variance_normalcharge_basemodel,103.24726104736328,72.92665100097656,10659.9970703125,103.13737640380859,73.31922607421875,10637.32265625
2,variance_normalcharge_basemodel,103.10420989990234,73.00981903076172,10630.4775390625,103.13737640380859,73.31922607421875,10637.32265625
3,variance_normalcharge_basemodel,103.18376922607422,73.83020782470703,10646.8896484375,103.13737640380859,73.31922607421875,10637.32265625
4,variance_normalcharge_basemodel,103.07843017578124,73.33708953857422,10625.162109375,103.13737640380859,73.31922607421875,10637.32265625
5,variance_normalcharge_basemodel,103.07321166992188,73.49236297607422,10624.0869140625,103.13737640380859,73.31922607421875,10637.32265625
1,variance_normalcharge_transfermodel,236.80877685546875,179.2679443359375,56078.3984375,222.00035705566407,162.71583251953126,49622.88671875
2,variance_normalcharge_transfermodel,196.19448852539065,138.1612091064453,38492.27734375,222.00035705566407,162.71583251953126,49622.88671875
3,variance_normalcharge_transfermodel,233.96250915527344,170.38436889648438,54738.45703125,222.00035705566407,162.71583251953126,49622.88671875
4,variance_normalcharge_transfermodel,203.28550720214844,146.57925415039062,41324.99609375,222.00035705566407,162.71583251953126,49622.88671875
5,variance_normalcharge_transfermodel,239.75050354003903,179.18638610839844,57480.3046875,222.00035705566407,162.71583251953126,49622.88671875
